City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Salalah,OM,77.94,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
5,Buchanan,LR,77.0,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
7,Kousseri,CM,75.2,scattered clouds,12.0769,15.0306,Résidence le Palmier
8,Hithadhoo,MV,81.72,scattered clouds,-0.6,73.0833,Scoop Guest House
9,Rikitea,PF,78.15,light rain,-23.1203,-134.9692,Pension Maro'i
10,Thinadhoo,MV,81.7,overcast clouds,0.5333,72.9333,
11,Namibe,AO,71.65,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
13,Hobart,AU,72.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
17,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Hermanus,ZA,75.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
24,Georgetown,MY,87.8,scattered clouds,5.4112,100.3354,Cititel Penang
27,Atuona,PF,77.43,clear sky,-9.8,-139.0333,Villa Enata
29,Flinders,AU,73.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
31,Mahebourg,MU,84.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Hun,LY,72.37,clear sky,29.1268,15.9477,Alrwasi Hotel
34,Samarai,PG,85.19,moderate rain,-10.6167,150.6667,Nuli Sapi
36,Naliya,IN,75.09,clear sky,23.2667,68.8333,Hotel Panchvati
37,Bambous Virieux,MU,84.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
38,Bandarbeyla,SO,77.23,scattered clouds,9.4942,50.8122,JABIR HOTEL
41,Bredasdorp,ZA,77.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,Maragogi,BR,76.33,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
44,New Norfolk,AU,73.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
46,Port Elizabeth,ZA,75.2,overcast clouds,-33.918,25.5701,39 On Nile Guest House
50,Port Blair,IN,84.2,drizzle,11.6667,92.75,Welcomhotel Bay Island Port Blair
52,Cape Town,ZA,77.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
54,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
61,Puerto Ayora,EC,72.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
64,Manyana,BW,78.49,broken clouds,-23.4,21.7167,
69,Atambua,ID,79.11,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
74,Nkhata Bay,MW,78.8,moderate rain,-11.6066,34.2907,Mayoka Village
77,Mweka,CD,71.8,overcast clouds,-4.85,21.5667,
79,Innisfail,AU,78.26,light rain,-17.5333,146.0333,Moondarra Motel
80,Malmesbury,ZA,77.0,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
84,Rusape,ZW,76.78,moderate rain,-18.5278,32.1284,Surrey Lodge
85,Kruisfontein,ZA,80.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
94,Omboue,GA,79.21,broken clouds,-1.5746,9.2618,Hotel Olako
96,Kavaratti,IN,82.89,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Kahului,US,73.4,broken clouds,20.8947,-156.47,Maui Seaside Hotel
98,Lorengau,PG,84.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
99,Byron Bay,AU,75.2,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
100,Port Alfred,ZA,77.0,clear sky,-33.5906,26.891,The Halyards Hotel
