City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sierra Vista,US,31.5545,-110.3037,48.2,18,1,10.36,clear sky
1,Ilulissat,GL,69.2167,-51.1,8.6,56,40,23.02,light snow
2,Wajima,JP,37.4,136.9,26.6,100,90,2.3,snow
3,Salalah,OM,17.0151,54.0924,77.94,27,0,9.53,clear sky
4,Nikolskoye,RU,59.7035,30.7861,12.0,85,0,4.47,clear sky
5,Buchanan,LR,5.8808,-10.0467,77.0,94,75,2.44,mist
6,Taltal,CL,-25.4,-70.4833,63.21,78,39,1.74,scattered clouds
7,Kousseri,CM,12.0769,15.0306,75.2,23,29,12.66,scattered clouds
8,Hithadhoo,MV,-0.6,73.0833,81.72,74,32,10.09,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,78.15,76,100,7.34,light rain
10,Thinadhoo,MV,0.5333,72.9333,81.7,76,85,9.89,overcast clouds
11,Namibe,AO,-15.1961,12.1522,71.65,73,100,1.68,overcast clouds
12,Busselton,AU,-33.65,115.3333,102.99,21,7,7.0,clear sky
13,Hobart,AU,-42.8794,147.3294,72.0,63,75,14.97,broken clouds
14,Maniitsoq,GL,65.4167,-52.9,22.93,81,100,10.45,overcast clouds
15,Yulara,AU,-25.2406,130.9889,98.6,12,40,12.66,scattered clouds
16,Upernavik,GL,72.7868,-56.1549,10.02,75,100,7.45,overcast clouds
17,Vaini,TO,-21.2,-175.2,78.8,94,40,3.44,scattered clouds
18,Bluff,NZ,-46.6,168.3333,55.99,78,100,10.0,overcast clouds
19,Yar-Sale,RU,66.8333,70.8333,-4.59,92,81,10.6,broken clouds
20,Hermanus,ZA,-34.4187,19.2345,75.0,70,30,8.99,scattered clouds
21,Butaritari,KI,3.0707,172.7902,81.75,80,94,24.18,light rain
22,Vila Franca Do Campo,PT,37.7167,-25.4333,48.2,81,20,5.75,few clouds
23,Castro,BR,-24.7911,-50.0119,64.08,96,96,6.78,overcast clouds
